Station Code,Latitude,Longitude
CVP,9.1674144,77.8767442
MBNR,16.7375089,78.0081221
RU,13.638038,79.5068283
LHA,29.9429587,75.8010962
NLE,12.259613,75.12811
PPI,22.7622132,78.3486781
MJF,17.4491041,78.5337625
SVM,15.2792343,74.1210597
MLDT,25.0108408,88.1410967
SA,11.670396,78.1133473
QRP,30.762428,75.8228899
BTTR,14.7949897,79.9584397
SC,17.4399295,78.4982741
PGRL,16.4851565,79.8900552
MJR,13.269188,80.2637192
NLR,14.4425987,79.986456
BUI,25.8307174,84.1857115
PUNE,18.5204303,73.8567437
ASK,13.313865,76.253156
ASN,23.6739452,86.9523954
ST,21.1702401,72.8310607
SWM,26.0377772,76.3521514
DZA,31.813226,75.6637375
KGI,12.899623,77.4826976
TA,10.9820313,75.875396
KATL,21.273289,78.5859566
KGL,15.2022098,76.9801476
MKN,27.0371828,74.7247203
KGQ,12.5102239,74.9851678
KGP,22.34601,87.2319753
MKU,20.886483,76.2162709
JER,21.8038883,87.2269973
TK,13.3391677,77.1139984
PTKC,32.262222,75.6444459
CTRE,12.8752016,79.1193145
ATP,14.6818877,77.6005911
TU,14.9070274,78.0092703
JJKR,20.7652197,86.1751759
CNGR,9.3183275,76.6110845
HBD,22.744108,77.736967
HBJ,23.6569846,77.3755084
PRR,23.3258979,86.377838
MLO,13.0034948,77.9424531
LJN,26.8466937,80.946166
PGTN,10.7867303,76.6547932
BWM,24.4054876,75.8214371
BWT,12.9914907,78.1787597
SEGM,20.7349924,78.662567
NLDA,17.0575707,79.2620294
PSA,18.7747161,84.4093876
DURG,21.1904494,81.2849169
BLGR,20.7074234,83.4842725
NOK,27.5562169,73.4731871
VN,12.6950325,78.6218853
AVN,13.0461347,79.5687728
ANND,22.5617082,72.9663035
PTB,10.8067836,76.1964852
AMLA,21.9195577,78.1228676
MONR,11.0598753,78.1421905
PTJ,10.9649605,76.9895938
BNLW,26.389791,75.8708242
AWB,19.8761653,75.3433139
KJM,12.4254763,76.5724381
JHL,29.8032984,75.8202753
KJT,18.9192249,73.3277223
JHS,25.4484257,78.5684594
WL,17.9689008,79.5940544
PDPL,18.6161825,79.3831599
PURI,19.8133822,85.8314655
WR,20.732814,78.594717
AWY,10.1075702,76.345662
BZA,16.5184698,80.6195229
KKM,14.608384,78.662567
MOO,14.6896777,78.3927547
PUT,12.7686756,75.2070644
ALLP,9.4980667,76.3388484
KOTA,25.2138156,75.8647527
GCT,25.5840419,83.5770202
BZU,21.9011601,77.8960201
NRE,14.2709505,79.1068667
VAK,8.7378685,76.7163359
MPI,12.858519,78.795545
YA,14.639396,78.5348507
OTP,10.7722644,76.3695167
LNL,18.7546171,73.4062342
PVP,18.7817162,83.4267518
YG,16.7601963,77.142764
NRR,13.0862202,77.4271665
NRW,29.5890406,76.1094272
GDR,14.1486494,79.8456227
ODUR,20.593684,78.96288
JIND,29.3296142,76.2894282
YP,16.823165,80.4688061
SFMU,30.1251635,75.8137192
KMC,18.3239953,78.3343051
VBL,18.5735047,83.3583654
NSL,20.1092692,74.528751
KMT,17.2472528,80.1514447
HGT,20.5505728,78.8411405
MRA,26.4933562,77.9909949
KNE,26.0917422,87.9383822
NMKL,11.2194391,78.1677236
FDB,28.4089123,77.3177894
IJK,10.3446664,76.2093715
WFD,12.9697999,77.7499467
PANP,12.4928616,76.6642853
PYA,14.0213047,79.8756737
UBL,15.3647083,75.1239547
KOK,13.1185502,80.2779966
HIJ,22.6780655,87.6075294
KOU,16.008622,81.0340601
NASP,17.6070712,82.8761759
VNUP,10.9345955,79.5743915
SADP,16.5722359,77.2515195
KPD,12.9717557,79.1384756
MTJ,27.4794633,77.6734795
JNH,25.550111,82.310031
